Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
4-January-2021,66.00,67.95,65.00,65.00,65.987500000000000000,6000,4,395925.00,4500,75.00,2.95,-1.00
1-January-2021,65.90,65.90,65.90,65.90,65.900000000000000000,1500,1,98850.00,1500,100.00,0.00,0.00
31-December-2020,66.00,68.00,64.00,64.00,66.272727272727272727,16500,10,1093500.00,13500,81.82,4.00,-2.00
30-December-2020,64.00,70.00,62.00,68.45,65.327083333333333333,72000,41,4703550.00,45000,62.50,8.00,4.45
9-October-2020,50.50,64.00,50.50,64.00,55.000000000000000000,4500,3,247500.00,3000,66.67,13.50,13.50
19-August-2020,63.00,63.00,63.00,63.00,63.000000000000000000,1500,1,94500.00,1500,100.00,0.00,0.00
12-August-2020,62.00,62.00,61.95,61.95,61.975000000000000000,102000,3,6321450.00,51000,50.00,0.05,-0.05
31-July-2020,53.10,62.00,53.10,62.00,57.550000000000000000,3000,2,172650.00,3000,100.00,8.90,8.90
29-July-2020,59.00,59.00,59.00,59.00,59.000000000000000000,39000,2,2301000.00,39000,100.00,0.00,0.00
28-July-2020,54.00,54.00,54.00,54.00,54.000000000000000000,3000,2,162000.00,1500,50.00,0.00,0.00
27-July-2020,55.00,60.00,53.00,60.00,56.000000000000000000,4500,3,252000.00,3000,66.67,7.00,5.00
24-July-2020,55.00,55.90,55.00,55.90,55.250000000000000000,6000,4,331500.00,6000,100.00,0.90,0.90
23-July-2020,59.10,59.10,55.20,58.00,56.115384615384615384,19500,13,1094250.00,12000,61.54,3.90,-1.10
22-July-2020,77.00,77.00,59.05,69.00,69.927777777777777777,27000,10,1888050.00,22500,83.33,17.95,-8.00
21-July-2020,78.00,79.00,63.40,73.80,72.726315789473684210,28500,8,2072700.00,24000,84.21,15.60,-4.20
9-July-2020,79.25,79.25,79.20,79.20,79.225000000000000000,54000,2,4278150.00,54000,100.00,0.05,-0.05
1-July-2020,79.00,79.00,79.00,79.00,79.000000000000000000,33000,3,2607000.00,21000,63.64,0.00,0.00
30-June-2020,61.80,78.00,61.80,78.00,76.987500000000000000,48000,2,3695400.00,48000,100.00,16.20,16.20
25-June-2020,77.00,77.25,76.75,77.25,76.950000000000000000,75000,3,5771250.00,75000,100.00,0.50,0.25
8-June-2020,67.50,75.70,56.20,75.35,62.522222222222222222,13500,9,844050.00,9000,66.67,19.50,7.85
4-June-2020,70.25,70.25,70.25,70.25,70.250000000000000000,1500,1,105375.00,1500,100.00,0.00,0.00
1-June-2020,72.00,72.00,72.00,72.00,72.000000000000000000,1500,1,108000.00,1500,100.00,0.00,0.00
29-May-2020,72.00,72.00,72.00,72.00,72.000000000000000000,1500,1,108000.00,1500,100.00,0.00,0.00
13-May-2020,89.00,89.00,89.00,89.00,89.000000000000000000,6000,2,534000.00,6000,100.00,0.00,0.00
20-March-2020,82.00,88.00,82.00,88.00,85.000000000000000000,12000,4,1020000.00,12000,100.00,6.00,6.00
19-March-2020,79.00,79.00,79.00,79.00,79.000000000000000000,3000,1,237000.00,3000,100.00,0.00,0.00
13-March-2020,79.00,79.00,75.00,75.00,76.636363636363636363,66000,15,5058000.00,66000,100.00,4.00,-4.00
12-March-2020,77.00,77.00,77.00,77.00,77.000000000000000000,36000,5,2772000.00,24000,66.67,0.00,0.00
3-March-2020,75.00,75.00,75.00,75.00,75.000000000000000000,3000,1,225000.00,3000,100.00,0.00,0.00
27-February-2020,70.00,72.00,70.00,72.00,71.000000000000000000,12000,2,852000.00,12000,100.00,2.00,2.00
25-February-2020,65.00,68.00,65.00,68.00,66.500000000000000000,6000,2,399000.00,6000,100.00,3.00,3.00
17-February-2020,62.00,62.00,62.00,62.00,62.000000000000000000,3000,1,186000.00,3000,100.00,0.00,0.00
13-February-2020,62.00,62.00,62.00,62.00,62.000000000000000000,3000,1,186000.00,3000,100.00,0.00,0.00
28-January-2020,64.00,73.00,62.00,73.00,68.790000000000000000,15000,5,1031850.00,9000,60.00,11.00,9.00
3-January-2020,76.00,76.00,76.00,76.00,76.000000000000000000,15000,1,1140000.00,15000,100.00,0.00,0.00
